A,B,C
40.0,426202.0,e
561.0,983007.0,c
682.0,461111.0,i
811.0,766692.0,c
493.0,4233.0,d
762.0,700899.0,f
273.0,126190.0,h
814.0,263041.0,i
452.0,943058.0,b
326.0,174289.0,b
764.0,124890.0,a
606.0,398165.0,l
518.0,340090.0,i
254.0,777766.0,c
239.0,693262.0,k
460.0,395958.0,g
129.0,595497.0,i
121.0,701671.0,b
813.0,96018.0,f
489.0,593786.0,g
588.0,741128.0,l
949.0,415382.0,g
935.0,968719.0,h
485.0,181188.0,h
683.0,448285.0,c
703.0,317180.0,i
81.0,960421.0,c
92.0,871106.0,j
964.0,285198.0,f
162.0,754652.0,h
223.0,750326.0,a
979.0,965812.0,b
465.0,438972.0,j
819.0,756191.0,g
394.0,806725.0,l
407.0,948866.0,i
858.0,905623.0,h
830.0,643765.0,h
957.0,279347.0,b
560.0,305125.0,g
347.0,637837.0,e
775.0,276517.0,e
543.0,622946.0,b
522.0,418675.0,h
594.0,236989.0,i
934.0,127623.0,i
180.0,21635.0,e
598.0,286273.0,d
726.0,371356.0,l
999.0,478009.0,l
74.0,119774.0,e
391.0,13083.0,i
265.0,950292.0,h
689.0,411171.0,i
335.0,632105.0,a
918.0,420534.0,e
542.0,231184.0,i
341.0,969696.0,h
193.0,378844.0,h
205.0,34069.0,k
146.0,845297.0,f
735.0,319403.0,a
478.0,318186.0,c
507.0,926091.0,l
378.0,762321.0,j
582.0,683235.0,c
365.0,849667.0,l
24.0,120027.0,d
149.0,456585.0,k
67.0,333202.0,f
26.0,346024.0,l
228.0,431403.0,j
682.0,101880.0,h
34.0,739169.0,e
4.0,94675.0,f
972.0,194837.0,d
426.0,162712.0,a
53.0,352021.0,b
749.0,814038.0,i
526.0,723864.0,h
7.0,91964.0,e
387.0,256875.0,i
32.0,285271.0,d
203.0,871924.0,c
613.0,747245.0,d
51.0,82300.0,i
557.0,570024.0,c
30.0,238264.0,e
325.0,173431.0,l
793.0,328990.0,b
443.0,136994.0,j
947.0,132135.0,f
960.0,205409.0,l
506.0,528050.0,c
646.0,343047.0,j
539.0,925405.0,g
207.0,49889.0,d
215.0,867512.0,k
699.0,417917.0,e
43.0,258466.0,b
106.0,405209.0,e
713.0,350556.0,g
963.0,453815.0,b
296.0,762865.0,j
97.0,175148.0,h
106.0,524970.0,e
289.0,464961.0,c
500.0,888261.0,j
569.0,23260.0,c
253.0,48164.0,c
956.0,413805.0,h
147.0,247363.0,c
558.0,544100.0,j
355.0,960394.0,l
483.0,950971.0,b
684.0,463187.0,g
121.0,319676.0,c
354.0,970878.0,j
2.0,401121.0,h
705.0,657798.0,i
154.0,434790.0,l
362.0,664271.0,j
966.0,846450.0,l
24.0,17229.0,f
854.0,36562.0,c
859.0,663491.0,h
54.0,125044.0,d
61.0,149203.0,l
602.0,570985.0,k
657.0,74308.0,g
764.0,716210.0,k
797.0,51761.0,k
213.0,572330.0,k
186.0,169387.0,e
545.0,684893.0,b
58.0,580892.0,c
174.0,768904.0,i
731.0,210959.0,b
936.0,191497.0,c
74.0,442008.0,f
105.0,678912.0,l
614.0,139316.0,j
306.0,224813.0,c
379.0,219729.0,i
747.0,950902.0,j
181.0,728984.0,f
464.0,97635.0,l
690.0,417917.0,b
736.0,107326.0,b
735.0,875259.0,e
207.0,147288.0,a
315.0,90889.0,g
508.0,99174.0,b
295.0,224791.0,d
197.0,559113.0,a
837.0,151039.0,e
36.0,211534.0,c
609.0,314252.0,k
926.0,842818.0,h
891.0,99460.0,j
154.0,582330.0,l
874.0,500695.0,a
580.0,200104.0,g
272.0,658989.0,g
37.0,728305.0,h
4.0,635130.0,h
645.0,246641.0,c
480.0,54749.0,j
717.0,303577.0,c
717.0,167763.0,j
250.0,262313.0,c
152.0,351946.0,f
371.0,220910.0,h
342.0,63431.0,i
26.0,622902.0,e
977.0,563561.0,d
756.0,120401.0,b
644.0,305787.0,i
295.0,469177.0,b
539.0,140276.0,e
358.0,883267.0,i
43.0,474073.0,i
731.0,744823.0,f
762.0,669147.0,i
855.0,211323.0,d
422.0,566506.0,b
535.0,936503.0,e
504.0,410183.0,i
366.0,420429.0,f
543.0,693912.0,f
737.0,138875.0,g
170.0,9462.0,e
199.0,285274.0,i
321.0,601974.0,l
116.0,247559.0,c
126.0,137215.0,c
807.0,517176.0,e
353.0,110989.0,k
968.0,143542.0,g
287.0,42123.0,b
188.0,74839.0,d
731.0,156070.0,b
468.0,323951.0,e
877.0,597836.0,k
940.0,687220.0,h
909.0,244173.0,a
482.0,726258.0,e
29.0,903377.0,k
476.0,93862.0,i
796.0,739597.0,l
433.0,710549.0,i
782.0,207689.0,d
214.0,819445.0,h
481.0,359605.0,k
180.0,177519.0,l
458.0,782481.0,e
520.0,10729.0,i
351.0,631594.0,g
294.0,947857.0,k
837.0,226335.0,f
456.0,196011.0,a
595.0,852476.0,c
750.0,440967.0,a
970.0,190611.0,i
641.0,130860.0,g
195.0,530248.0,c
778.0,791150.0,f
700.0,717519.0,b
796.0,247800.0,b
584.0,91656.0,f
676.0,934567.0,j
262.0,590638.0,e
289.0,209060.0,i
454.0,168256.0,l
970.0,423130.0,d
957.0,437204.0,g
78.0,263470.0,g
756.0,64020.0,h
849.0,460945.0,j
251.0,712502.0,f
182.0,575138.0,e
205.0,120101.0,j
296.0,656249.0,h
503.0,509199.0,f
436.0,952579.0,g
180.0,626576.0,b
523.0,72555.0,c
583.0,24745.0,j
769.0,35861.0,f
102.0,540815.0,g
962.0,823613.0,f
357.0,416104.0,h
816.0,748200.0,k
982.0,837495.0,k
527.0,1873.0,c
750.0,156422.0,l
626.0,683023.0,l
74.0,106926.0,l
517.0,896297.0,l
198.0,970218.0,e
378.0,356343.0,a
494.0,998535.0,b
299.0,199061.0,l
913.0,136606.0,c
560.0,724612.0,j
264.0,259084.0,i
945.0,585625.0,a
904.0,764547.0,k
334.0,364804.0,b
598.0,394153.0,j
766.0,584244.0,h
55.0,535445.0,h
301.0,330255.0,b
549.0,353851.0,h
465.0,807148.0,j
948.0,748262.0,l
144.0,558047.0,j
299.0,428667.0,l
365.0,443584.0,g
363.0,874086.0,i
471.0,621010.0,a
543.0,998360.0,k
218.0,798035.0,j
87.0,670554.0,g
353.0,321963.0,i
422.0,973296.0,a
550.0,880724.0,a
472.0,123498.0,i
943.0,972854.0,j
436.0,819969.0,d
686.0,67387.0,i
184.0,425110.0,k
224.0,875525.0,l
153.0,843589.0,g
790.0,667622.0,k
711.0,552806.0,a
779.0,575785.0,e
311.0,958560.0,c
270.0,440562.0,e
692.0,691102.0,i
448.0,526785.0,f
744.0,676166.0,h
893.0,818048.0,c
227.0,897013.0,g
625.0,312337.0,h
644.0,9295.0,l
254.0,431371.0,c
773.0,563252.0,g
435.0,72210.0,c
458.0,199954.0,g
